 
Log File 
 
User : 王明亮 
2022/04/22 周五 
19:37
 
Process Ran By 王明亮 
 

映像名称                       PID 会话名              会话#       内存使用 
CAudioFilterAgent64.exe       2960 Console                    1      8,088 K
RuntimeBroker.exe             8440 Console                    1     18,996 K
yundetectservice.exe          8596 Console                    1     10,944 K
NemuService.exe               8724 Console                    1     28,728 K
svchost.exe                   8744 Console                    1     20,936 K
svchost.exe                   7400 Services                   0     14,336 K
svchost.exe                   8560 Services                   0      9,548 K
ApplicationFrameHost.exe      8360 Console                    1     25,332 K
SystemSettings.exe            6164 Console                    1      2,172 K
SearchApp.exe                 6536 Console                    1     59,488 K
smartscreen.exe               3472 Console                    1     22,644 K
chrome.exe                    5736 Console                    1    145,772 K
chrome.exe                    8912 Console                    1      7,540 K
chrome.exe                    8308 Console                    1     75,332 K
chrome.exe                    5532 Console                    1     37,348 K
SogouCloud.exe                7380 Console                    1     23,432 K
chrome.exe                    1560 Console                    1     18,608 K
chrome.exe                    5376 Console                    1     95,392 K
notepad++.exe                 6900 Console                    1     52,524 K
fastgithub.exe                8856 Console                    1    119,920 K
conhost.exe                   1880 Console                    1     38,204 K
dnscrypt-proxy.exe            1968 Console                    1     19,536 K
conhost.exe                   6976 Console                    1     10,780 K
chrome.exe                    8544 Console                    1     24,588 K
TGitCache.exe                 6964 Console                    1     11,708 K
svchost.exe                   2096 Services                   0     17,304 K
SunloginClient.exe            6804 Console                    1    167,972 K
SunloginClient.exe            7116 Services                   0     93,316 K
SunloginClient.exe            6624 Services                   0     87,096 K
SogouImeBroker.exe             468 Console                    1     15,684 K
dllhost.exe                   4152 Console                    1     13,180 K
notepad.exe                   4992 Console                    1     38,012 K
svchost.exe                   6248 Services                   0      7,612 K
svchost.exe                   5164 Services                   0      7,596 K
MoUsoCoreWorker.exe           9728 Services                   0     13,188 K
svchost.exe                   9624 Services                   0     17,392 K
ShellExperienceHost.exe       9600 Console                    1     54,840 K
RuntimeBroker.exe             6704 Console                    1     22,336 K
backgroundTaskHost.exe        9300 Console                    1     27,608 K
RuntimeBroker.exe             9752 Console                    1     12,612 K
cmd.exe                       4052 Console                    1      4,880 K
conhost.exe                   9476 Console                    1     27,400 K
tasklist.exe                  2632 Console                    1      9,312 K
 
Network Activities 

IPv4 统计信息

  接收的数据包                   = 67693
  接收的标头错误             = 0
  接收的地址错误            = 0
  转发的数据报                = 0
  接收的未知协议         = 0
  丢弃的接收数据包         = 1077
  传送的接收数据包         = 74474
  输出请求                    = 74492
  路由丢弃                   = 0
  丢弃的输出数据包           = 48
  输出数据包无路由             = 7
  需要重新组合                = 0
  重新组合成功              = 0
  重新组合失败                = 0
  数据报分段成功  = 153
  数据报分段失败    = 0
  分段已创建                  = 306

IPv6 统计信息

  接收的数据包                   = 97479
  接收的标头错误             = 0
  接收的地址错误            = 249
  转发的数据报                = 0
  接收的未知协议         = 0
  丢弃的接收数据包         = 294
  传送的接收数据包         = 100299
  输出请求                    = 93738
  路由丢弃                   = 0
  丢弃的输出数据包           = 5
  输出数据包无路由             = 0
  需要重新组合                = 0
  重新组合成功              = 0
  重新组合失败                = 0
  数据报分段成功  = 0
  数据报分段失败    = 0
  分段已创建                  = 0

ICMPv4 统计信息

                            已接收    已发送
  消息                  312         331       
  错误                    0           0         
  目标不可达   312         331       
  超时             0           0         
  参数问题        0           0         
  源抑制           0           0         
  重定向                 0           0         
  回显回复              0           0         
  回显                     0           0         
  时间戳                0           0         
  时间戳回复         0           0         
  地址掩码             0           0         
  地址掩码回复      0           0         
  路由器请求      0           0         
  路由器播发     0           0         

ICMPv6 统计信息

                            已接收    已发送
  消息                  112         147       
  错误                    0           0         
  目标不可达   0           7         
  数据包太大            0           0         
  超时             0           0         
  参数问题        0           0         
  回显                     0           0         
  回显回复              0           0         
  MLD 查询               0           0         
  MLD 报告               0           0         
  MLD 已完成                 0           0         
  路由器请求      0           4         
  路由器播发     13          0         
  邻居请求    26          98        
  邻居播发   73          38        
  重定向                 0           0         
  路由器重新编号       0           0         

IPv4 的 TCP 统计信息

  主动开放                        = 1411
  被动开放                       = 29
  失败的连接尝试          = 464
  重置连接                   = 96
  当前连接                 = 3
  接收的分段                   = 74143
  发送的分段                       = 61828
  重新传输的分段              = 0

IPv6 的 TCP 统计信息

  主动开放                        = 612
  被动开放                       = 0
  失败的连接尝试          = 485
  重置连接                   = 13
  当前连接                 = 0
  接收的分段                   = 101626
  发送的分段                       = 88131
  重新传输的分段              = 0

IPv4 的 UDP 统计信息

  接收的数据报    = 2344
  无端口              = 686
  接收错误        = 393
  发送的数据报        = 3146

IPv6 的 UDP 统计信息

  接收的数据报    = 704
  无端口              = 56
  接收错误        = 238
  发送的数据报        = 1234
